name,symbol,logo
Cardano,ADA,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
Cosmos,ATOM,https://s2.coinmarketcap.com/static/img/coins/64x64/3794.png
Avalanche,AVAX,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png
Bitcoin Cash,BCH,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png
BNB,BNB,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
Bitcoin,BTC,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
Dogecoin,DOGE,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
Polkadot,DOT,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
Ethereum Classic,ETC,https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png
Ethereum,ETH,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
Chainlink,LINK,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png
Litecoin,LTC,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png
Polygon,MATIC,https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png
Shiba Inu,SHIB,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png
Solana,SOL,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
TRON,TRX,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png
Uniswap,UNI,https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png
Stellar,XLM,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png
Monero,XMR,https://s2.coinmarketcap.com/static/img/coins/64x64/328.png
XRP,XRP,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
